,date,states,outcomes,cases_total,cases_percent,cases_increase,cases_7d_change,testing_total,testing_percent,testing_increase,testing_7d_change
21,2021-02-14,56,"{'hospitalized': {'currently': {'value': 67023, 'calculated': {'population_percent': 0.0203, 'change_from_prior_day': -2260, 'seven_day_change_percent': -17.7, 'seven_day_average': 74034}}, 'in_icu': {'currently': {'value': 14047, 'calculated': {'population_percent': 0.0042, 'change_from_prior_day': -349, 'seven_day_change_percent': -15.5, 'seven_day_average': 15214}}}, 'on_ventilator': {'currently': {'value': 4538, 'calculated': {'population_percent': 0.0014, 'change_from_prior_day': -110, 'seven_day_change_percent': -15.1, 'seven_day_average': 4943}}}}, 'death': {'total': {'value': 475828, 'calculated': {'population_percent': 0.1438, 'change_from_prior_day': 1366, 'seven_day_change_percent': 4.8, 'seven_day_average': 466036}}}}",27429496.0,8.292,72164.0,2.4,334222078,101.0366,1439631.0,3.4
22,2021-02-13,56,"{'hospitalized': {'currently': {'value': 69283, 'calculated': {'population_percent': 0.0209, 'change_from_prior_day': -2214, 'seven_day_change_percent': -17.7, 'seven_day_average': 76094}}, 'in_icu': {'currently': {'value': 14396, 'calculated': {'population_percent': 0.0044, 'change_from_prior_day': -379, 'seven_day_change_percent': -15.8, 'seven_day_average': 15581}}}, 'on_ventilator': {'currently': {'value': 4648, 'calculated': {'population_percent': 0.0014, 'change_from_prior_day': -201, 'seven_day_change_percent': -15.1, 'seven_day_average': 5058}}}}, 'death': {'total': {'value': 474462, 'calculated': {'population_percent': 0.1434, 'change_from_prior_day': 3467, 'seven_day_change_percent': 4.8, 'seven_day_average': 462939}}}}",27357332.0,8.2702,90642.0,2.5,332782447,100.6014,1757608.0,3.5
23,2021-02-12,56,"{'hospitalized': {'currently': {'value': 71497, 'calculated': {'population_percent': 0.0216, 'change_from_prior_day': -2728, 'seven_day_change_percent': -17.2, 'seven_day_average': 78230}}, 'in_icu': {'currently': {'value': 14775, 'calculated': {'population_percent': 0.0045, 'change_from_prior_day': -415, 'seven_day_change_percent': -14.5, 'seven_day_average': 15966}}}, 'on_ventilator': {'currently': {'value': 4849, 'calculated': {'population_percent': 0.0015, 'change_from_prior_day': -121, 'seven_day_change_percent': -13.3, 'seven_day_average': 5176}}}}, 'death': {'total': {'value': 470995, 'calculated': {'population_percent': 0.1424, 'change_from_prior_day': 5427, 'seven_day_change_percent': 4.7, 'seven_day_average': 459826}}}}",27266690.0,8.2428,101030.0,2.6,331024839,100.0701,1812454.0,3.5
24,2021-02-11,56,"{'hospitalized': {'currently': {'value': 74225, 'calculated': {'population_percent': 0.0224, 'change_from_prior_day': -2754, 'seven_day_change_percent': -16.3, 'seven_day_average': 80355}}, 'in_icu': {'currently': {'value': 15190, 'calculated': {'population_percent': 0.0046, 'change_from_prior_day': -598, 'seven_day_change_percent': -15.2, 'seven_day_average': 16325}}}, 'on_ventilator': {'currently': {'value': 4970, 'calculated': {'population_percent': 0.0015, 'change_from_prior_day': -151, 'seven_day_change_percent': -13.3, 'seven_day_average': 5283}}}}, 'death': {'total': {'value': 465568, 'calculated': {'population_percent': 0.1407, 'change_from_prior_day': 3873, 'seven_day_change_percent': 4.4, 'seven_day_average': 456780}}}}",27165660.0,8.2123,102417.0,2.7,329212385,99.5222,1855929.0,3.6
25,2021-02-10,56,"{'hospitalized': {'currently': {'value': 76979, 'calculated': {'population_percent': 0.0233, 'change_from_prior_day': -2200, 'seven_day_change_percent': -15.8, 'seven_day_average': 82418}}, 'in_icu': {'currently': {'value': 15788, 'calculated': {'population_percent': 0.0048, 'change_from_prior_day': -341, 'seven_day_change_percent': -13, 'seven_day_average': 16715}}}, 'on_ventilator': {'currently': {'value': 5121, 'calculated': {'population_percent': 0.0015, 'change_from_prior_day': -95, 'seven_day_change_percent': -13.5, 'seven_day_average': 5392}}}}, 'death': {'total': {'value': 461695, 'calculated': {'population_percent': 0.1396, 'change_from_prior_day': 3445, 'seven_day_change_percent': 4.7, 'seven_day_average': 454004}}}}",27063243.0,8.1813,95194.0,2.8,327356456,98.9611,1382709.0,3.5
26,2021-02-09,56,"{'hospitalized': {'currently': {'value': 79179, 'calculated': {'population_percent': 0.0239, 'change_from_prior_day': -876, 'seven_day_change_percent': -14.8, 'seven_day_average': 84484}}, 'in_icu': {'currently': {'value': 16129, 'calculated': {'population_percent': 0.0049, 'change_from_prior_day': -45, 'seven_day_change_percent': -12.3, 'seven_day_average': 17052}}}, 'on_ventilator': {'currently': {'value': 5216, 'calculated': {'population_percent': 0.0016, 'change_from_prior_day': -44, 'seven_day_change_percent': -13.7, 'seven_day_average': 5506}}}}, 'death': {'total': {'value': 458250, 'calculated': {'population_percent': 0.1385, 'change_from_prior_day': 2795, 'seven_day_change_percent': 4.8, 'seven_day_average': 451036}}}}",26968049.0,8.1525,92986.0,2.9,325973747,98.5431,1488481.0,3.6
27,2021-02-08,56,"{'hospitalized': {'currently': {'value': 80055, 'calculated': {'population_percent': 0.0242, 'change_from_prior_day': -1384, 'seven_day_change_percent': -14.4, 'seven_day_average': 86441}}, 'in_icu': {'currently': {'value': 16174, 'calculated': {'population_percent': 0.0049, 'change_from_prior_day': -442, 'seven_day_change_percent': -12.9, 'seven_day_average': 17374}}}, 'on_ventilator': {'currently': {'value': 5260, 'calculated': {'population_percent': 0.0016, 'change_from_prior_day': -82, 'seven_day_change_percent': -13.6, 'seven_day_average': 5625}}}}, 'death': {'total': {'value': 455455, 'calculated': {'population_percent': 0.1377, 'change_from_prior_day': 1309, 'seven_day_change_percent': 5, 'seven_day_average': 448035}}}}",26875063.0,8.1244,77737.0,3.0,324485266,98.0932,1400009.0,3.5
28,2021-02-07,56,"{'hospitalized': {'currently': {'value': 81439, 'calculated': {'population_percent': 0.0246, 'change_from_prior_day': -2794, 'seven_day_change_percent': -14.3, 'seven_day_average': 88367}}, 'in_icu': {'currently': {'value': 16616, 'calculated': {'population_percent': 0.005, 'change_from_prior_day': -477, 'seven_day_change_percent': -12.4, 'seven_day_average': 17717}}}, 'on_ventilator': {'currently': {'value': 5342, 'calculated': {'population_percent': 0.0016, 'change_from_prior_day': -133, 'seven_day_change_percent': -15.1, 'seven_day_average': 5743}}}}, 'death': {'total': {'value': 454146, 'calculated': {'population_percent': 0.1373, 'change_from_prior_day': 1475, 'seven_day_change_percent': 5.1, 'seven_day_average': 444934}}}}",26797326.0,8.1009,95994.0,3.2,323085257,97.6699,1498808.0,3.6
29,2021-02-06,56,"{'hospitalized': {'currently': {'value': 84233, 'calculated': {'population_percent': 0.0255, 'change_from_prior_day': -2140, 'seven_day_change_percent': -13.7, 'seven_day_average': 90306}}, 'in_icu': {'currently': {'value': 17093, 'calculated': {'population_percent': 0.0052, 'change_from_prior_day': -191, 'seven_day_change_percent': -10.6, 'seven_day_average': 18053}}}, 'on_ventilator': {'currently': {'value': 5475, 'calculated': {'population_percent': 0.0017, 'change_from_prior_day': -121, 'seven_day_change_percent': -13.5, 'seven_day_average': 5878}}}}, 'death': {'total': {'value': 452671, 'calculated': {'population_percent': 0.1368, 'change_from_prior_day': 2994, 'seven_day_change_percent': 5.2, 'seven_day_average': 441797}}}}",26701332.0,8.0719,114557.0,3.3,321586449,97.2168,1888854.0,3.7
30,2021-02-05,56,"{'hospitalized': {'currently': {'value': 86373, 'calculated': {'population_percent': 0.0261, 'change_from_prior_day': -2295, 'seven_day_change_percent': -14.5, 'seven_day_average': 92210}}, 'in_icu': {'currently': {'value': 17284, 'calculated': {'population_percent': 0.0052, 'change_from_prior_day': -634, 'seven_day_change_percent': -11.9, 'seven_day_average': 18344}}}, 'on_ventilator': {'currently': {'value': 5596, 'calculated': {'population_percent': 0.0017, 'change_from_prior_day': -136, 'seven_day_change_percent': -13.7, 'seven_day_average': 6000}}}}, 'death': {'total': {'value': 449677, 'calculated': {'population_percent': 0.1359, 'change_from_prior_day': 3543, 'seven_day_change_percent': 5.3, 'seven_day_average': 438577}}}}",26586775.0,8.0373,131146.0,3.4,319697595,96.6458,1868496.0,3.8
31,2021-02-04,56,"{'hospitalized': {'currently': {'value': 88668, 'calculated': {'population_percent': 0.0268, 'change_from_prior_day': -2772, 'seven_day_change_percent': -15, 'seven_day_average': 94300}}, 'in_icu': {'currently': {'value': 17918, 'calculated': {'population_percent': 0.0054, 'change_from_prior_day': -229, 'seven_day_change_percent': -10.9, 'seven_day_average': 18676}}}, 'on_ventilator': {'currently': {'value': 5732, 'calculated': {'population_percent': 0.0017, 'change_from_prior_day': -188, 'seven_day_change_percent': -13.7, 'seven_day_average': 6127}}}}, 'death': {'total': {'value': 446134, 'calculated': {'population_percent': 0.1349, 'change_from_prior_day': 5212, 'seven_day_change_percent': 5.3, 'seven_day_average': 435359}}}}",26455629.0,7.9976,123907.0,3.6,317829099,96.081,1663995.0,3.8
32,2021-02-03,56,"{'hospitalized': {'currently': {'value': 91440, 'calculated': {'population_percent': 0.0276, 'change_from_prior_day': -1440, 'seven_day_change_percent': -14.9, 'seven_day_average': 96534}}, 'in_icu': {'currently': {'value': 18147, 'calculated': {'population_percent': 0.0055, 'change_from_prior_day': -241, 'seven_day_change_percent': -11.5, 'seven_day_average': 18990}}}, 'on_ventilator': {'currently': {'value': 5920, 'calculated': {'population_percent': 0.0018, 'change_from_prior_day': -127, 'seven_day_change_percent': -13, 'seven_day_average': 6257}}}}, 'death': {'total': {'value': 440922, 'calculated': {'population_percent': 0.1333, 'change_from_prior_day': 3685, 'seven_day_change_percent': 5.1, 'seven_day_average': 432146}}}}",26331722.0,7.9602,116960.0,3.7,316165104,95.578,1384881.0,4.0
33,2021-02-02,56,"{'hospitalized': {'currently': {'value': 92880, 'calculated': {'population_percent': 0.0281, 'change_from_prior_day': -656, 'seven_day_change_percent': -14.8, 'seven_day_average': 98820}}, 'in_icu': {'currently': {'value': 18388, 'calculated': {'population_percent': 0.0056, 'change_from_prior_day': -184, 'seven_day_change_percent': -10.6, 'seven_day_average': 19325}}}, 'on_ventilator': {'currently': {'value': 6047, 'calculated': {'population_percent': 0.0018, 'change_from_prior_day': -39, 'seven_day_change_percent': -11.5, 'seven_day_average': 6383}}}}, 'death': {'total': {'value': 437237, 'calculated': {'population_percent': 0.1322, 'change_from_prior_day': 3486, 'seven_day_change_percent': 5.2, 'seven_day_average': 429105}}}}",26214762.0,7.9248,117616.0,3.9,314780223,95.1593,1385595.0,4.1
34,2021-02-01,56,"{'hospitalized': {'currently': {'value': 93536, 'calculated': {'population_percent': 0.0283, 'change_from_prior_day': -1477, 'seven_day_change_percent': -14.9, 'seven_day_average': 101117}}, 'in_icu': {'currently': {'value': 18572, 'calculated': {'population_percent': 0.0056, 'change_from_prior_day': -396, 'seven_day_change_percent': -11, 'seven_day_average': 19637}}}, 'on_ventilator': {'currently': {'value': 6086, 'calculated': {'population_percent': 0.0018, 'change_from_prior_day': -205, 'seven_day_change_percent': -11.2, 'seven_day_average': 6496}}}}, 'death': {'total': {'value': 433751, 'calculated': {'population_percent': 0.1311, 'change_from_prior_day': 1562, 'seven_day_change_percent': 5.3, 'seven_day_average': 426008}}}}",26097146.0,7.8893,120200.0,4.0,313394628,94.7404,1507545.0,4.2
